period,metric,value
2023-02-01,разности ожидаемого месячного объема нефтегазовых доходов и оценки базового месячного объема нефтегазовых доходов в текущем месяце***,-108.0
2023-03-01,разности ожидаемого месячного объема нефтегазовых доходов и оценки базового месячного объема нефтегазовых доходов в текущем месяце***,-132.1
2023-04-01,разности ожидаемого месячного объема нефтегазовых доходов и оценки базового месячного объема нефтегазовых доходов в текущем месяце***,-113.6
2023-05-01,разности ожидаемого месячного объема нефтегазовых доходов и оценки базового месячного объема нефтегазовых доходов в текущем месяце***,-8.1
2023-06-01,разности ожидаемого месячного объема нефтегазовых доходов и оценки базового месячного объема нефтегазовых доходов в текущем месяце***,-44.0
2023-07-01,разности ожидаемого месячного объема нефтегазовых доходов и оценки базового месячного объема нефтегазовых доходов в текущем месяце***,-4.5
2023-08-01,разности ожидаемого месячного объема нефтегазовых доходов и оценки базового месячного объема нефтегазовых доходов в текущем месяце***,73.2
2023-09-01,разности ожидаемого месячного объема нефтегазовых доходов и оценки базового месячного объема нефтегазовых доходов в текущем месяце***,279.1
2023-10-01,разности ожидаемого месячного объема нефтегазовых доходов и оценки базового месячного объема нефтегазовых доходов в текущем месяце***,513.5
2023-11-01,разности ожидаемого месячного объема нефтегазовых доходов и оценки базового месячного объема нефтегазовых доходов в текущем месяце***,583.3
2023-12-01,разности ожидаемого месячного объема нефтегазовых доходов и оценки базового месячного объема нефтегазовых доходов в текущем месяце***,362.0
2024-01-01,разности ожидаемого месячного объема нефтегазовых доходов и оценки базового месячного объема нефтегазовых доходов в текущем месяце***,130.8
2024-02-01,разности ожидаемого месячного объема нефтегазовых доходов и оценки базового месячного объема нефтегазовых доходов в текущем месяце***,195.4
2024-03-01,разности ожидаемого месячного объема нефтегазовых доходов и оценки базового месячного объема нефтегазовых доходов в текущем месяце***,125.2
2024-04-01,разности ожидаемого месячного объема нефтегазовых доходов и оценки базового месячного объема нефтегазовых доходов в текущем месяце***,128.3
2024-05-01,разности ожидаемого месячного объема нефтегазовых доходов и оценки базового месячного объема нефтегазовых доходов в текущем месяце***,183.6
2024-06-01,разности ожидаемого месячного объема нефтегазовых доходов и оценки базового месячного объема нефтегазовых доходов в текущем месяце***,140.7
2024-07-01,разности ожидаемого месячного объема нефтегазовых доходов и оценки базового месячного объема нефтегазовых доходов в текущем месяце***,145.256902961846
2024-08-01,разности ожидаемого месячного объема нефтегазовых доходов и оценки базового месячного объема нефтегазовых доходов в текущем месяце***,166.7
2024-09-01,разности ожидаемого месячного объема нефтегазовых доходов и оценки базового месячного объема нефтегазовых доходов в текущем месяце***,162.0
2024-10-01,разности ожидаемого месячного объема нефтегазовых доходов и оценки базового месячного объема нефтегазовых доходов в текущем месяце***,110.4
2024-11-01,разности ожидаемого месячного объема нефтегазовых доходов и оценки базового месячного объема нефтегазовых доходов в текущем месяце***,105.1
2024-12-01,разности ожидаемого месячного объема нефтегазовых доходов и оценки базового месячного объема нефтегазовых доходов в текущем месяце***,95.9
2025-01-01,разности ожидаемого месячного объема нефтегазовых доходов и оценки базового месячного объема нефтегазовых доходов в текущем месяце***,80.3
2025-02-01,разности ожидаемого месячного объема нефтегазовых доходов и оценки базового месячного объема нефтегазовых доходов в текущем месяце***,101.2
2025-03-01,разности ожидаемого месячного объема нефтегазовых доходов и оценки базового месячного объема нефтегазовых доходов в текущем месяце***,57.2
2025-04-01,разности ожидаемого месячного объема нефтегазовых доходов и оценки базового месячного объема нефтегазовых доходов в текущем месяце***,29.7
2025-05-01,разности ожидаемого месячного объема нефтегазовых доходов и оценки базового месячного объема нефтегазовых доходов в текущем месяце***,-12.3
2025-06-01,разности ожидаемого месячного объема нефтегазовых доходов и оценки базового месячного объема нефтегазовых доходов в текущем месяце***,-40.3
2025-07-01,разности ожидаемого месячного объема нефтегазовых доходов и оценки базового месячного объема нефтегазовых доходов в текущем месяце***,-25.8
2025-08-01,разности ожидаемого месячного объема нефтегазовых доходов и оценки базового месячного объема нефтегазовых доходов в текущем месяце***,-12.1
2025-09-01,разности ожидаемого месячного объема нефтегазовых доходов и оценки базового месячного объема нефтегазовых доходов в текущем месяце***,-21.0
2025-10-01,разности ожидаемого месячного объема нефтегазовых доходов и оценки базового месячного объема нефтегазовых доходов в текущем месяце***,-26.9
2025-11-01,разности ожидаемого месячного объема нефтегазовых доходов и оценки базового месячного объема нефтегазовых доходов в текущем месяце***,-48.0
2025-12-01,разности ожидаемого месячного объема нефтегазовых доходов и оценки базового месячного объема нефтегазовых доходов в текущем месяце***,-137.6
2026-01-01,разности ожидаемого месячного объема нефтегазовых доходов и оценки базового месячного объема нефтегазовых доходов в текущем месяце***,-231.9
2026-02-01,разности ожидаемого месячного объема нефтегазовых доходов и оценки базового месячного объема нефтегазовых доходов в текущем месяце***,-209.4
2026-03-01,разности ожидаемого месячного объема нефтегазовых доходов и оценки базового месячного объема нефтегазовых доходов в текущем месяце***,110.3
2018-01-01,корректировки оценки дополнительных нефтегазовых доходов за предыдущий месяц****,0.0
2018-02-01,корректировки оценки дополнительных нефтегазовых доходов за предыдущий месяц****,4.5
2018-03-01,корректировки оценки дополнительных нефтегазовых доходов за предыдущий месяц****,-45.4
2018-04-01,корректировки оценки дополнительных нефтегазовых доходов за предыдущий месяц****,-13.0
2018-05-01,корректировки оценки дополнительных нефтегазовых доходов за предыдущий месяц****,2.2
2018-06-01,корректировки оценки дополнительных нефтегазовых доходов за предыдущий месяц****,-23.2
2018-07-01,корректировки оценки дополнительных нефтегазовых доходов за предыдущий месяц****,-39.6
2018-08-01,корректировки оценки дополнительных нефтегазовых доходов за предыдущий месяц****,-5.1
2018-09-01,корректировки оценки дополнительных нефтегазовых доходов за предыдущий месяц****,35.4
2018-10-01,корректировки оценки дополнительных нефтегазовых доходов за предыдущий месяц****,-4.0
2018-11-01,корректировки оценки дополнительных нефтегазовых доходов за предыдущий месяц****,12.0
2018-12-01,корректировки оценки дополнительных нефтегазовых доходов за предыдущий месяц****,7.0
2019-01-01,корректировки оценки дополнительных нефтегазовых доходов за предыдущий месяц****,45.1
2019-02-01,корректировки оценки дополнительных нефтегазовых доходов за предыдущий месяц****,-9.6
2019-03-01,корректировки оценки дополнительных нефтегазовых доходов за предыдущий месяц****,40.4
2019-04-01,корректировки оценки дополнительных нефтегазовых доходов за предыдущий месяц****,-51.8
2019-05-01,корректировки оценки дополнительных нефтегазовых доходов за предыдущий месяц****,-13.9
2019-06-01,корректировки оценки дополнительных нефтегазовых доходов за предыдущий месяц****,-13.7
2019-07-01,корректировки оценки дополнительных нефтегазовых доходов за предыдущий месяц****,-25.9
2019-08-01,корректировки оценки дополнительных нефтегазовых доходов за предыдущий месяц****,9.2
2019-09-01,корректировки оценки дополнительных нефтегазовых доходов за предыдущий месяц****,-6.3
2019-10-01,корректировки оценки дополнительных нефтегазовых доходов за предыдущий месяц****,8.2
2019-11-01,корректировки оценки дополнительных нефтегазовых доходов за предыдущий месяц****,44.4
2019-12-01,корректировки оценки дополнительных нефтегазовых доходов за предыдущий месяц****,-6.4
2020-01-01,корректировки оценки дополнительных нефтегазовых доходов за предыдущий месяц****,65.3
2020-02-01,корректировки оценки дополнительных нефтегазовых доходов за предыдущий месяц****,-11.8
2020-03-01,корректировки оценки дополнительных нефтегазовых доходов за предыдущий месяц****,-38.9
2020-04-01,корректировки оценки дополнительных нефтегазовых доходов за предыдущий месяц****,-22.0
2020-05-01,корректировки оценки дополнительных нефтегазовых доходов за предыдущий месяц****,-3.0
2020-06-01,корректировки оценки дополнительных нефтегазовых доходов за предыдущий месяц****,-58.2
2020-07-01,корректировки оценки дополнительных нефтегазовых доходов за предыдущий месяц****,-77.8
2020-08-01,корректировки оценки дополнительных нефтегазовых доходов за предыдущий месяц****,-92.5
2020-09-01,корректировки оценки дополнительных нефтегазовых доходов за предыдущий месяц****,-75.5
2020-10-01,корректировки оценки дополнительных нефтегазовых доходов за предыдущий месяц****,-50.3
2020-11-01,корректировки оценки дополнительных нефтегазовых доходов за предыдущий месяц****,18.1
2020-12-01,корректировки оценки дополнительных нефтегазовых доходов за предыдущий месяц****,19.3
2021-01-01,корректировки оценки дополнительных нефтегазовых доходов за предыдущий месяц****,32.7
2021-02-01,корректировки оценки дополнительных нефтегазовых доходов за предыдущий месяц****,-1.5
2021-03-01,корректировки оценки дополнительных нефтегазовых доходов за предыдущий месяц****,31.2
2021-04-01,корректировки оценки дополнительных нефтегазовых доходов за предыдущий месяц****,-26.9
2021-05-01,корректировки оценки дополнительных нефтегазовых доходов за предыдущий месяц****,-52.8
2021-06-01,корректировки оценки дополнительных нефтегазовых доходов за предыдущий месяц****,5.1
2021-07-01,корректировки оценки дополнительных нефтегазовых доходов за предыдущий месяц****,54.1
2021-08-01,корректировки оценки дополнительных нефтегазовых доходов за предыдущий месяц****,57.4
2021-09-01,корректировки оценки дополнительных нефтегазовых доходов за предыдущий месяц****,48.0
2021-10-01,корректировки оценки дополнительных нефтегазовых доходов за предыдущий месяц****,42.3
2021-11-01,корректировки оценки дополнительных нефтегазовых доходов за предыдущий месяц****,108.4
2021-12-01,корректировки оценки дополнительных нефтегазовых доходов за предыдущий месяц****,105.2
2022-01-01,корректировки оценки дополнительных нефтегазовых доходов за предыдущий месяц****,92.7
2022-02-01,корректировки оценки дополнительных нефтегазовых доходов за предыдущий месяц****,-74.8
2022-03-01,корректировки оценки дополнительных нефтегазовых доходов за предыдущий месяц****,-216.4
2022-04-01,корректировки оценки дополнительных нефтегазовых доходов за предыдущий месяц****,-302.0
2022-05-01,корректировки оценки дополнительных нефтегазовых доходов за предыдущий месяц****,-133.1
2022-06-01,корректировки оценки дополнительных нефтегазовых доходов за предыдущий месяц****,263.7
2022-07-01,корректировки оценки дополнительных нефтегазовых доходов за предыдущий месяц****,138.9
2022-08-01,корректировки оценки дополнительных нефтегазовых доходов за предыдущий месяц****,-74.7
2022-09-01,корректировки оценки дополнительных нефтегазовых доходов за предыдущий месяц****,85.9
2022-10-01,корректировки оценки дополнительных нефтегазовых доходов за предыдущий месяц****,-22.7
2022-11-01,корректировки оценки дополнительных нефтегазовых доходов за предыдущий месяц****,-7.5
2022-12-01,корректировки оценки дополнительных нефтегазовых доходов за предыдущий месяц****,-90.2
2023-02-01,корректировки оценки дополнительных нефтегазовых доходов за предыдущий месяц****,-52.1
2023-03-01,корректировки оценки дополнительных нефтегазовых доходов за предыдущий месяц****,12.3
2023-04-01,корректировки оценки дополнительных нефтегазовых доходов за предыдущий месяц****,39.0
2023-05-01,корректировки оценки дополнительных нефтегазовых доходов за предыдущий месяц****,-32.4
2023-06-01,корректировки оценки дополнительных нефтегазовых доходов за предыдущий месяц****,-30.6
2023-07-01,корректировки оценки дополнительных нефтегазовых доходов за предыдущий месяц****,-30.3
2023-08-01,корректировки оценки дополнительных нефтегазовых доходов за предыдущий месяц****,-32.7
2023-09-01,корректировки оценки дополнительных нефтегазовых доходов за предыдущий месяц****,-3.0
2023-10-01,корректировки оценки дополнительных нефтегазовых доходов за предыдущий месяц****,-114.8
2023-11-01,корректировки оценки дополнительных нефтегазовых доходов за предыдущий месяц****,37.8
2023-12-01,корректировки оценки дополнительных нефтегазовых доходов за предыдущий месяц****,-117.2
2024-01-01,корректировки оценки дополнительных нефтегазовых доходов за предыдущий месяц****,-199.9
2024-02-01,корректировки оценки дополнительных нефтегазовых доходов за предыдущий месяц****,-122.2
2024-03-01,корректировки оценки дополнительных нефтегазовых доходов за предыдущий месяц****,-31.5
2024-04-01,корректировки оценки дополнительных нефтегазовых доходов за предыдущий месяц****,107.0
2024-05-01,корректировки оценки дополнительных нефтегазовых доходов за предыдущий месяц****,-72.6
2024-06-01,корректировки оценки дополнительных нефтегазовых доходов за предыдущий месяц****,-69.6
2024-07-01,корректировки оценки дополнительных нефтегазовых доходов за предыдущий месяц****,-21.5
2024-08-01,корректировки оценки дополнительных нефтегазовых доходов за предыдущий месяц****,-142.1
2024-09-01,корректировки оценки дополнительных нефтегазовых доходов за предыдущий месяц****,10.9
2024-10-01,корректировки оценки дополнительных нефтегазовых доходов за предыдущий месяц****,-38.6
2024-11-01,корректировки оценки дополнительных нефтегазовых доходов за предыдущий месяц****,-17.6
2024-12-01,корректировки оценки дополнительных нефтегазовых доходов за предыдущий месяц****,18.5
2025-01-01,корректировки оценки дополнительных нефтегазовых доходов за предыдущий месяц****,-10.1
2025-02-01,корректировки оценки дополнительных нефтегазовых доходов за предыдущий месяц****,-34.7
2025-03-01,корректировки оценки дополнительных нефтегазовых доходов за предыдущий месяц****,2.9
2025-04-01,корректировки оценки дополнительных нефтегазовых доходов за предыдущий месяц****,-65.6
2025-05-01,корректировки оценки дополнительных нефтегазовых доходов за предыдущий месяц****,53.9
2025-06-01,корректировки оценки дополнительных нефтегазовых доходов за предыдущий месяц****,68.6
2025-07-01,корректировки оценки дополнительных нефтегазовых доходов за предыдущий месяц****,7.1
2025-08-01,корректировки оценки дополнительных нефтегазовых доходов за предыдущий месяц****,5.9
2025-09-01,корректировки оценки дополнительных нефтегазовых доходов за предыдущий месяц****,-10.5
2025-10-01,корректировки оценки дополнительных нефтегазовых доходов за предыдущий месяц****,13.0
2025-11-01,корректировки оценки дополнительных нефтегазовых доходов за предыдущий месяц****,45.3
2025-12-01,корректировки оценки дополнительных нефтегазовых доходов за предыдущий месяц****,14.1
2026-01-01,корректировки оценки дополнительных нефтегазовых доходов за предыдущий месяц****,39.8
2026-02-01,корректировки оценки дополнительных нефтегазовых доходов за предыдущий месяц****,-17.4
2023-02-01,Справочно: корректировка оценки дополнительных нефтегазовых доходов за предыдущий месяц (без учета равномерного распределения НДД),-105.0
2023-03-01,Справочно: корректировка оценки дополнительных нефтегазовых доходов за предыдущий месяц (без учета равномерного распределения НДД),-40.6
2023-04-01,Справочно: корректировка оценки дополнительных нефтегазовых доходов за предыдущий месяц (без учета равномерного распределения НДД),144.8
2023-05-01,Справочно: корректировка оценки дополнительных нефтегазовых доходов за предыдущий месяц (без учета равномерного распределения НДД),90.8
2023-06-01,Справочно: корректировка оценки дополнительных нефтегазовых доходов за предыдущий месяц (без учета равномерного распределения НДД),-92.9
2023-07-01,Справочно: корректировка оценки дополнительных нефтегазовых доходов за предыдущий месяц (без учета равномерного распределения НДД),-91.2
2023-08-01,Справочно: корректировка оценки дополнительных нефтегазовых доходов за предыдущий месяц (без учета равномерного распределения НДД),162.4
2023-09-01,Справочно: корректировка оценки дополнительных нефтегазовых доходов за предыдущий месяц (без учета равномерного распределения НДД),-102.3
2023-10-01,Справочно: корректировка оценки дополнительных нефтегазовых доходов за предыдущий месяц (без учета равномерного распределения НДД),-210.6
2023-11-01,Справочно: корректировка оценки дополнительных нефтегазовых доходов за предыдущий месяц (без учета равномерного распределения НДД),437.2
2023-12-01,Справочно: корректировка оценки дополнительных нефтегазовых доходов за предыдущий месяц (без учета равномерного распределения НДД),-310.7
2024-01-01,Справочно: корректировка оценки дополнительных нефтегазовых доходов за предыдущий месяц (без учета равномерного распределения НДД),-405.7
2024-02-01,Справочно: корректировка оценки дополнительных нефтегазовых доходов за предыдущий месяц (без учета равномерного распределения НДД),-168.3
2024-03-01,Справочно: корректировка оценки дополнительных нефтегазовых доходов за предыдущий месяц (без учета равномерного распределения НДД),-77.7
2024-04-01,Справочно: корректировка оценки дополнительных нефтегазовых доходов за предыдущий месяц (без учета равномерного распределения НДД),199.2
2024-05-01,Справочно: корректировка оценки дополнительных нефтегазовых доходов за предыдущий месяц (без учета равномерного распределения НДД),-51.2
2024-06-01,Справочно: корректировка оценки дополнительных нефтегазовых доходов за предыдущий месяц (без учета равномерного распределения НДД),-57.1
2024-07-01,Справочно: корректировка оценки дополнительных нефтегазовых доходов за предыдущий месяц (без учета равномерного распределения НДД),-55.39999999999999
2024-08-01,Справочно: корректировка оценки дополнительных нефтегазовых доходов за предыдущий месяц (без учета равномерного распределения НДД),-50.8
2024-09-01,Справочно: корректировка оценки дополнительных нефтегазовых доходов за предыдущий месяц (без учета равномерного распределения НДД),-46.7
2024-10-01,Справочно: корректировка оценки дополнительных нефтегазовых доходов за предыдущий месяц (без учета равномерного распределения НДД),-72.2
2024-11-01,Справочно: корректировка оценки дополнительных нефтегазовых доходов за предыдущий месяц (без учета равномерного распределения НДД),58.4
2024-12-01,Справочно: корректировка оценки дополнительных нефтегазовых доходов за предыдущий месяц (без учета равномерного распределения НДД),-30.8
2025-01-01,Справочно: корректировка оценки дополнительных нефтегазовых доходов за предыдущий месяц (без учета равномерного распределения НДД),-36.8
2025-02-01,Справочно: корректировка оценки дополнительных нефтегазовых доходов за предыдущий месяц (без учета равномерного распределения НДД),-49.5
2025-03-01,Справочно: корректировка оценки дополнительных нефтегазовых доходов за предыдущий месяц (без учета равномерного распределения НДД),-12.0
2025-04-01,Справочно: корректировка оценки дополнительных нефтегазовых доходов за предыдущий месяц (без учета равномерного распределения НДД),-35.9
2025-05-01,Справочно: корректировка оценки дополнительных нефтегазовых доходов за предыдущий месяц (без учета равномерного распределения НДД),132.6
2025-06-01,Справочно: корректировка оценки дополнительных нефтегазовых доходов за предыдущий месяц (без учета равномерного распределения НДД),-8.1
2025-07-01,Справочно: корректировка оценки дополнительных нефтегазовых доходов за предыдущий месяц (без учета равномерного распределения НДД),5.1
2025-08-01,Справочно: корректировка оценки дополнительных нефтегазовых доходов за предыдущий месяц (без учета равномерного распределения НДД),-15.1
2025-09-01,Справочно: корректировка оценки дополнительных нефтегазовых доходов за предыдущий месяц (без учета равномерного распределения НДД),-4.5
2025-10-01,Справочно: корректировка оценки дополнительных нефтегазовых доходов за предыдущий месяц (без учета равномерного распределения НДД),28.0
2025-11-01,Справочно: корректировка оценки дополнительных нефтегазовых доходов за предыдущий месяц (без учета равномерного распределения НДД),31.4
2025-12-01,Справочно: корректировка оценки дополнительных нефтегазовых доходов за предыдущий месяц (без учета равномерного распределения НДД),17.9
2026-01-01,Справочно: корректировка оценки дополнительных нефтегазовых доходов за предыдущий месяц (без учета равномерного распределения НДД),49.9
2026-02-01,Справочно: корректировка оценки дополнительных нефтегазовых доходов за предыдущий месяц (без учета равномерного распределения НДД),49.6
